price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps
15.73,57711194,34,32767,2587108767,59854744,1,FALSE,2020-11-08 20:14:38,90,1.01392E+12,10000002,30000144,1
15.74,65061608,34,32767,2587100880,69585854,1,FALSE,2020-11-08 19:41:33,90,1.01392E+12,10000002,30000144,1
15.74,113698725,34,32767,2586953541,113698725,1,FALSE,2020-11-08 20:10:23,30,1.01392E+12,10000002,30000144,1
15.75,7840575,34,32767,2587095552,20000000,1,FALSE,2020-11-08 19:40:44,90,1.01392E+12,10000002,30000144,1
15.76,41577876,34,32767,2587097372,41577876,1,FALSE,2020-11-08 19:26:21,90,1.01392E+12,10000002,30000144,1
15.78,25169083,34,32767,2587068924,108093471,1,FALSE,2020-11-08 16:57:22,90,1.01392E+12,10000002,30000144,1
15.79,7316409,34,32767,2587065636,27001250,1,FALSE,2020-11-08 16:41:10,90,1.01392E+12,10000002,30000144,1
15.9,93848012,34,32767,2586676403,214276279,1,FALSE,2020-11-08 13:33:24,90,1.01399E+12,10000002,30000144,1
15.98,30421356,34,32767,2587065938,30421356,1,FALSE,2020-11-08 16:42:36,90,1.01392E+12,10000002,30000144,1
15.99,112902776,34,32767,2586849356,207366590,1,FALSE,2020-11-08 4:29:41,90,1.01392E+12,10000002,30000144,1
15.99,40266537,34,32767,2584479821,68565854,1,FALSE,2020-11-08 19:41:14,90,60003760,10000002,30000142,0
16,99999,34,32767,2586994356,99999,1,FALSE,2020-11-08 8:00:09,90,60002353,10000002,30000181,7
16,45745828,34,32767,2586802454,45745828,1,FALSE,2020-11-08 14:19:08,90,1.01392E+12,10000002,30000144,1
16,53473500,34,32767,2587068545,53473500,1,FALSE,2020-11-08 16:55:52,90,1.01392E+12,10000002,30000144,1
16,47414600,34,32767,2587097787,50000000,1,FALSE,2020-11-08 19:27:55,90,60003760,10000002,30000142,0
16.09,20100251,34,32767,2586981167,20100251,1,FALSE,2020-11-08 2:12:01,14,1.01392E+12,10000002,30000144,1
16.16,360441,34,32767,2587095763,2756971,1,FALSE,2020-11-08 19:19:57,7,60003760,10000002,30000142,0
16.17,31548797,34,32767,2586980580,31548797,1,FALSE,2020-11-08 2:05:11,90,1.01392E+12,10000002,30000144,1
16.17,13065978,34,32767,2587093158,13090000,1,FALSE,2020-11-08 19:04:32,90,60003760,10000002,30000142,0
16.18,19521550,34,32767,2584693778,98585474,1,FALSE,2020-11-08 12:21:04,90,60003760,10000002,30000142,0
16.19,309729405,34,32767,2586812419,578781776,1,FALSE,2020-11-08 1:55:09,90,60003760,10000002,30000142,0
16.2,56965854,34,32767,2584354562,56965854,1,FALSE,2020-11-08 1:37:31,90,1.01392E+12,10000002,30000144,1
16.21,60210517,34,32767,2586975502,66599417,1,FALSE,2020-11-08 1:23:14,90,1.01392E+12,10000002,30000144,1
16.23,80991941,34,32767,2584840074,94081045,1,FALSE,2020-11-08 1:05:24,90,60003760,10000002,30000142,0
16.25,96464793,34,32767,2584703999,96585475,1,FALSE,2020-11-08 0:53:29,90,60003760,10000002,30000142,0
16.26,105529,34,32767,2586971032,2105529,1,FALSE,2020-11-08 0:49:40,90,60003760,10000002,30000142,0
16.27,22648347,34,32767,2584354621,48565854,1,FALSE,2020-11-07 23:26:25,90,1.01392E+12,10000002,30000144,1
16.27,1250,34,32767,2587003034,1250,1,FALSE,2020-11-08 9:57:46,90,60003754,10000002,30000144,1
16.29,16083600,34,32767,2584557459,56854741,1,FALSE,2020-11-07 22:06:33,90,60003760,10000002,30000142,0
16.3,26883940,34,32767,2586932687,31949900,1,FALSE,2020-11-07 21:50:14,90,60003760,10000002,30000142,0
16.31,10963300,34,32767,2586317677,86958658,1,FALSE,2020-11-07 21:23:23,90,1.01392E+12,10000002,30000144,1
16.32,40584107,34,32767,2586836922,89658547,1,FALSE,2020-11-07 20:36:11,90,60003760,10000002,30000142,0
16.32,114467409,34,32767,2586919065,115570090,1,FALSE,2020-11-07 20:49:22,30,1.01392E+12,10000002,30000144,1
16.33,2934603,34,32767,2586913827,7241095,1,FALSE,2020-11-07 20:28:45,30,60003760,10000002,30000142,0
16.35,46157702,34,32767,2586909066,46157702,1,FALSE,2020-11-07 20:06:38,30,60003760,10000002,30000142,0
16.38,17632437,34,32767,2584347199,56958547,1,FALSE,2020-11-07 20:10:14,90,1.01392E+12,10000002,30000144,1
16.4,51732352,34,32767,2586872852,51732352,1,FALSE,2020-11-07 16:43:48,90,1.01392E+12,10000002,30000144,1
16.45,104187876,34,32767,2586693448,113461152,1,FALSE,2020-11-07 14:09:49,90,1.01392E+12,10000002,30000144,1
16.46,45743195,34,32767,2586693469,103086842,1,FALSE,2020-11-07 14:07:46,90,1.01392E+12,10000002,30000144,1
16.47,435085,34,32767,2586907441,3628296,1,FALSE,2020-11-07 19:57:03,90,60003760,10000002,30000142,0
16.48,14053160,34,32767,2586838791,23373306,1,FALSE,2020-11-07 13:23:22,90,1.01392E+12,10000002,30000144,1
16.48,10686843,34,32767,2586863516,10686843,1,FALSE,2020-11-07 15:46:57,3,60003760,10000002,30000142,0
16.5,20779690,34,32767,2586815867,36570772,1,FALSE,2020-11-07 9:49:41,30,1.01392E+12,10000002,30000144,1
16.5,57684171,34,32767,2586264455,90360855,1,FALSE,2020-11-07 10:22:14,14,1.01392E+12,10000002,30000144,1
16.5,109437075,34,32767,2586337003,109437075,1,FALSE,2020-11-07 10:22:22,14,1.01392E+12,10000002,30000144,1
16.69,2675986,34,32767,2586813585,2700008,1,FALSE,2020-11-07 9:20:39,90,1.01392E+12,10000002,30000144,1
16.7,99121789,34,32767,2586811309,99177349,1,FALSE,2020-11-07 8:42:22,90,1.01392E+12,10000002,30000144,1
16.88,29253975,34,32767,2586796495,45529091,1,FALSE,2020-11-07 2:06:31,3,1.01392E+12,10000002,30000144,1
16.9,33570535,34,32767,2586782367,33640100,1,FALSE,2020-11-07 0:18:08,90,1.01392E+12,10000002,30000144,1
16.98,14128391,34,32767,2586777049,50000000,1,FALSE,2020-11-06 23:44:34,90,1.01392E+12,10000002,30000144,1
16.99,45352000,34,32767,2586774531,45352000,1,FALSE,2020-11-06 23:31:55,90,1.01392E+12,10000002,30000144,1
16.99,60000000,34,32767,2586903830,60000000,1,FALSE,2020-11-07 19:41:01,90,60003760,10000002,30000142,0
17,101454686,34,32767,2586724054,124252446,1,FALSE,2020-11-06 19:37:11,14,1.01392E+12,10000002,30000144,1
17,266580,34,32767,2587044201,266580,1,FALSE,2020-11-08 14:44:27,30,60003760,10000002,30000142,0
17.33,89261930,34,32767,2586706362,106577805,1,FALSE,2020-11-06 17:42:41,90,1.01399E+12,10000002,30000144,1
17.39,120474052,34,32767,2586812376,120474052,1,FALSE,2020-11-07 9:03:17,90,60003760,10000002,30000142,0
17.45,865643,34,32767,2584346185,56585475,1,FALSE,2020-11-06 13:32:40,90,1.01392E+12,10000002,30000144,1
17.48,9768387,34,32767,2586666497,15768387,1,FALSE,2020-11-06 12:27:56,90,1.01392E+12,10000002,30000144,1
17.5,15505636,34,32767,2586399239,50000000,1,FALSE,2020-11-04 18:01:12,90,1.01392E+12,10000002,30000144,1
17.5,24936185,34,32767,2586659736,24936185,1,FALSE,2020-11-06 10:56:34,3,1.01392E+12,10000002,30000144,1
17.5,100000000,34,32767,2586941397,100000000,1,FALSE,2020-11-07 22:28:34,90,60003760,10000002,30000142,0
17.66,81962895,34,32767,2586754264,81962895,1,FALSE,2020-11-06 22:02:23,30,1.01392E+12,10000002,30000144,1
17.7,638045,34,32767,2586361424,639845,1,FALSE,2020-11-04 13:15:08,30,60003244,10000002,30000126,5
17.88,27899250,34,32767,2586399312,27899250,1,FALSE,2020-11-04 18:01:55,90,1.01392E+12,10000002,30000144,1
17.9,3785243,34,32767,2586379976,3785243,1,FALSE,2020-11-04 15:36:11,90,1.01392E+12,10000002,30000144,1
17.91,9312462,34,32767,2586379909,9312462,1,FALSE,2020-11-04 15:35:33,90,1.01392E+12,10000002,30000144,1
17.92,7687538,34,32767,2586379873,7687538,1,FALSE,2020-11-04 15:35:05,90,1.01392E+12,10000002,30000144,1
17.94,11575450,34,32767,2586349817,50000000,1,FALSE,2020-11-04 11:41:15,90,1.01392E+12,10000002,30000144,1
17.99,53067592,34,32767,2586900501,53067592,1,FALSE,2020-11-07 19:26:08,90,60003760,10000002,30000142,0
18,679497,34,32767,2586134239,679497,1,FALSE,2020-11-02 22:14:38,30,60003244,10000002,30000126,5
18,25250,34,32767,2586182652,25250,1,FALSE,2020-11-03 8:12:22,90,60010822,10000002,30000189,11
18,100000000,34,32767,2586941240,100000000,1,FALSE,2020-11-07 22:28:10,90,60003760,10000002,30000142,0
18,22412504,34,32767,2584210204,50000000,1,FALSE,2020-11-08 16:12:22,90,60003760,10000002,30000142,0
18.1,75470265,34,32767,2586312905,98278695,1,FALSE,2020-11-04 0:17:33,90,1.01399E+12,10000002,30000144,1
18.24,29136109,34,32767,2586686072,50000000,1,FALSE,2020-11-06 19:57:24,90,60003760,10000002,30000142,0
18.24,62552265,34,32767,2586115093,69819044,1,FALSE,2020-11-06 19:57:40,90,60003760,10000002,30000142,0
18.24,144304537,34,32767,2586785363,144304537,1,FALSE,2020-11-07 0:35:19,90,60003760,10000002,30000142,0
18.25,120474052,34,32767,2586722265,120474052,1,FALSE,2020-11-06 19:27:16,90,60003760,10000002,30000142,0
18.29,69855485,34,32767,2586685948,69856585,1,FALSE,2020-11-06 15:09:46,90,60003760,10000002,30000142,0
18.3,2574507,34,32767,2586289670,2990021,1,FALSE,2020-11-03 22:18:22,14,60015027,10000002,30030141,4
18.3,37067301,34,32767,2586670839,55458155,1,FALSE,2020-11-06 13:06:31,90,60003760,10000002,30000142,0
18.31,270603228,34,32767,2586263384,270603228,1,FALSE,2020-11-03 20:10:07,90,1.01392E+12,10000002,30000144,1
18.32,87030823,34,32767,2586637306,100000000,1,FALSE,2020-11-06 12:42:39,90,60003760,10000002,30000142,0
18.35,43029798,34,32767,2584763691,288004216,1,FALSE,2020-10-28 18:12:38,30,1.01399E+12,10000002,30000144,1
18.36,100469371,34,32767,2585380327,100469371,1,FALSE,2020-10-29 10:42:43,90,1.01392E+12,10000002,30000144,1
18.36,37545657,34,32767,2586633174,44634271,1,FALSE,2020-11-06 1:43:21,90,60003760,10000002,30000142,0
18.37,46506534,34,32767,2585666107,46506534,1,FALSE,2020-10-31 1:44:06,14,1.01392E+12,10000002,30000144,1
18.37,58126507,34,32767,2586628235,63585477,1,FALSE,2020-11-06 0:56:15,90,60003760,10000002,30000142,0
18.4,487703,34,32767,2585911173,517379,1,FALSE,2020-11-01 15:07:47,14,60015027,10000002,30030141,4
18.47,13792955,34,32767,2586576669,52458547,1,FALSE,2020-11-05 20:45:23,90,60003760,10000002,30000142,0
18.48,30908460,34,32767,2585227111,30908460,1,FALSE,2020-10-28 11:41:03,90,1.01392E+12,10000002,30000144,1
18.48,17793988,34,32767,2586387909,28501200,1,FALSE,2020-11-04 16:43:08,90,60003760,10000002,30000142,0
18.5,1724552,34,32767,2585216336,1837276,1,FALSE,2020-10-28 9:30:03,90,60015027,10000002,30030141,4
18.5,7631512,34,32767,2586249856,50000000,1,FALSE,2020-11-03 18:46:18,90,60003760,10000002,30000142,0
18.5,50000000,34,32767,2586270299,50000000,1,FALSE,2020-11-03 20:41:47,90,60003760,10000002,30000142,0
18.6,90187661,34,32767,2585139091,99177349,1,FALSE,2020-10-27 20:25:25,90,1.01392E+12,10000002,30000144,1
18.69,13382352,34,32767,2586177488,39191999,1,FALSE,2020-11-03 5:04:29,90,60003760,10000002,30000142,0
18.7,84177349,34,32767,2584080128,99177349,1,FALSE,2020-10-27 20:25:47,90,1.01392E+12,10000002,30000144,1
18.99,50000000,34,32767,2586355348,50000000,1,FALSE,2020-11-04 12:35:50,90,60003760,10000002,30000142,0
19.01,2222601,34,32767,2584653784,37321358,1,FALSE,2020-10-24 22:02:35,90,1.01399E+12,10000002,30000144,1
19.16,863200,34,32767,2585916886,863200,1,FALSE,2020-11-01 15:39:18,90,60003364,10000002,30000173,9
19.3,135926182,34,32767,2586161760,135926182,1,FALSE,2020-11-03 0:26:52,90,60003760,10000002,30000142,0
19.31,10621505,34,32767,2585311544,14670178,1,FALSE,2020-10-28 21:32:01,90,60003760,10000002,30000142,0
19.33,53441614,34,32767,2584272374,53441614,1,FALSE,2020-10-27 20:28:23,90,60003760,10000002,30000142,0
19.37,16726293,34,32767,2585110564,19701287,1,FALSE,2020-10-27 17:23:38,90,60003760,10000002,30000142,0
19.39,47779770,34,32767,2585092125,76958566,1,FALSE,2020-10-27 14:49:54,90,60003760,10000002,30000142,0
19.4,30823420,34,32767,2585061640,165246497,1,FALSE,2020-10-27 9:39:35,90,60003760,10000002,30000142,0
19.5,334715189,34,32767,2585056812,334715189,1,FALSE,2020-10-27 8:15:25,90,60003760,10000002,30000142,0
19.5,2025596,34,32767,2585141143,2025596,1,FALSE,2020-10-27 20:33:21,90,60003760,10000002,30000142,0
19.75,106000,34,32767,2586913787,106000,1,FALSE,2020-11-07 20:28:34,90,60003760,10000002,30000142,0
19.87,11297934,34,32767,2584948958,79585658,1,FALSE,2020-10-26 17:01:30,90,60003760,10000002,30000142,0
19.89,183601181,34,32767,2584074566,200000000,1,FALSE,2020-10-26 15:49:25,90,60003760,10000002,30000142,0
19.9,14290441,34,32767,2584913922,68589587,1,FALSE,2020-10-26 12:12:21,90,60003760,10000002,30000142,0
19.99,109111527,34,32767,2584974900,109111527,1,FALSE,2020-10-26 20:04:03,30,1.01392E+12,10000002,30000144,1
19.99,50000000,34,32767,2586355372,50000000,1,FALSE,2020-11-04 12:36:09,90,60003760,10000002,30000142,0
19.99,100000000,34,32767,2587033732,100000000,1,FALSE,2020-11-08 13:45:46,90,60003760,10000002,30000142,0
20,6252129,34,32767,2584136318,6252129,1,FALSE,2020-10-24 16:39:23,90,1.01392E+12,10000002,30000144,1
20,122228,34,32767,2584657997,340012,1,FALSE,2020-10-24 22:22:41,90,60015027,10000002,30030141,4
20,230038,34,32767,2584717929,230038,1,FALSE,2020-10-25 10:01:29,90,60015027,10000002,30030141,4
20,3095005,34,32767,2584797792,3095005,1,FALSE,2020-10-25 18:18:47,90,60003760,10000002,30000142,0
20,2025596,34,32767,2585071614,2025596,1,FALSE,2020-10-27 11:48:31,90,60003760,10000002,30000142,0
20,201201929,34,32767,2585377262,201201929,1,FALSE,2020-10-29 10:10:57,90,60003760,10000002,30000142,0
20.13,49338,34,32767,2587048334,49338,1,FALSE,2020-11-08 15:07:41,3,60015027,10000002,30030141,4
20.3,14032261,34,32767,2584166100,14032261,1,FALSE,2020-10-22 20:26:07,90,1.01392E+12,10000002,30000144,1
20.32,1512680,34,32767,2584444410,21009110,1,FALSE,2020-10-23 19:52:41,90,60003760,10000002,30000142,0
20.35,2185384,34,32767,2584403280,2185384,1,FALSE,2020-10-23 15:16:17,90,60003760,10000002,30000142,0
20.39,5159461,34,32767,2584353423,5159461,1,FALSE,2020-10-23 2:18:06,90,60003760,10000002,30000142,0
20.41,10000000,34,32767,2584348890,10000000,1,FALSE,2020-10-23 1:26:04,90,60003760,10000002,30000142,0
20.45,2185309,34,32767,2584401349,2185309,1,FALSE,2020-10-23 14:58:18,90,60003760,10000002,30000142,0
20.49,40651924,34,32767,2584331670,40651924,1,FALSE,2020-10-22 23:30:25,90,60003760,10000002,30000142,0
20.59,56359183,34,32767,2584249010,56359183,1,FALSE,2020-10-22 15:06:59,90,1.01392E+12,10000002,30000144,1
20.9,37587595,34,32767,2584147690,38590871,1,FALSE,2020-10-21 21:24:26,90,1.01392E+12,10000002,30000144,1
21,500000000,34,32767,2584158897,500000000,1,FALSE,2020-10-21 22:07:17,90,1.01392E+12,10000002,30000144,1
21,356534086,34,32767,2584362975,356534086,1,FALSE,2020-10-23 8:37:09,90,60003760,10000002,30000142,0
21,63994,34,32767,2584618155,63994,1,FALSE,2020-10-24 19:07:44,90,60015027,10000002,30030141,4
21,14374,34,32767,2584618242,14374,1,FALSE,2020-10-24 19:08:07,90,60015027,10000002,30030141,4
21,2025596,34,32767,2584957747,2025596,1,FALSE,2020-10-26 18:13:56,90,60003760,10000002,30000142,0
21,2250,34,32767,2585056748,2250,1,FALSE,2020-10-27 8:12:00,14,60015027,10000002,30030141,4
21.1,440759313,34,32767,2584159402,440759313,1,FALSE,2020-10-21 22:10:01,90,1.01392E+12,10000002,30000144,1
21.61,16686980,34,32767,2584129463,16686980,1,FALSE,2020-10-21 19:43:42,30,1.01392E+12,10000002,30000144,1
21.65,59473242,34,32767,2584120083,59473242,1,FALSE,2020-10-21 18:35:09,30,1.01392E+12,10000002,30000144,1
21.95,168136848,34,32767,2584229625,168136848,1,FALSE,2020-10-22 12:40:40,90,60003760,10000002,30000142,0
22,2025596,34,32767,2584648369,2025596,1,FALSE,2020-10-25 20:51:17,90,60003760,10000002,30000142,0
22,2025596,34,32767,2584826379,2025596,1,FALSE,2020-10-26 18:13:15,90,60003760,10000002,30000142,0
22.34,37357889,34,32767,2585639341,37357889,1,FALSE,2020-10-30 22:57:20,14,60003760,10000002,30000142,0
22.78,500000000,34,32767,2584440201,500000000,1,FALSE,2020-10-23 19:32:27,90,60003760,10000002,30000142,0
22.79,953531945,34,32767,2584172038,953531945,1,FALSE,2020-10-21 23:04:21,90,60003760,10000002,30000142,0
22.8,4424105,34,32767,2584113572,20000000,1,FALSE,2020-10-21 19:04:55,30,60003760,10000002,30000142,0
22.99,196201877,34,32767,2584028020,255701957,1,FALSE,2020-10-20 23:39:32,90,60003760,10000002,30000142,0
23,30704923,34,32767,2584154422,30704923,1,FALSE,2020-10-21 21:47:52,90,1.01399E+12,10000002,30000144,1
23,74662615,34,32767,2584227355,74662615,1,FALSE,2020-10-22 12:23:56,90,60003760,10000002,30000142,0
23.52,9715018,34,32767,2582941025,10205018,1,FALSE,2020-10-14 20:08:23,90,60003760,10000002,30000142,0
23.53,77698496,34,32767,2584130663,77698496,1,FALSE,2020-10-21 19:51:39,90,1.01392E+12,10000002,30000144,1
23.54,4072900,34,32767,2580176369,4700000,1,FALSE,2020-10-09 16:17:28,90,60003757,10000002,30000142,0
23.9,475554867,34,32767,2581983950,475554867,1,FALSE,2020-10-09 11:16:49,90,60003760,10000002,30000142,0
23.91,99091938,34,32767,2580191546,99091938,1,FALSE,2020-09-30 20:51:30,90,1.01392E+12,10000002,30000144,1
23.91,26448900,34,32767,2580039838,278278424,1,FALSE,2020-09-30 20:51:38,90,1.01392E+12,10000002,30000144,1
24,584300735,34,32767,2580160535,584300735,1,FALSE,2020-09-29 19:40:29,90,60003760,10000002,30000142,0
24,454828,34,32767,2582937629,454828,1,FALSE,2020-10-14 19:52:34,90,1.01392E+12,10000002,30000144,1
24.5,2774534,34,32767,2579611787,2903059,1,FALSE,2020-09-26 15:33:36,90,60004228,10000002,30000129,3
25,13322,34,32767,2583488978,13322,1,FALSE,2020-10-17 23:03:20,90,60003364,10000002,30000173,9
25.07,13904,34,32767,2583164611,34745,1,FALSE,2020-10-16 3:54:42,90,60015027,10000002,30030141,4
25.07,39000,34,32767,2583326421,39000,1,FALSE,2020-10-17 1:45:37,90,60015027,10000002,30030141,4
27.96,7933355,34,32767,2579590608,7933355,1,FALSE,2020-09-26 13:40:25,90,1.01392E+12,10000002,30000144,1
27.97,109725482,34,32767,2584074505,109725482,1,FALSE,2020-10-21 12:26:07,90,60003760,10000002,30000142,0
28,150000000,34,32767,2580000501,150000000,1,FALSE,2020-09-28 19:36:51,90,60003760,10000002,30000142,0
28.96,30000000,34,32767,2579997772,30000000,1,FALSE,2020-09-28 19:17:29,90,60003760,10000002,30000142,0
28.97,369407831,34,32767,2579576442,369407831,1,FALSE,2020-09-26 12:16:05,90,1.01392E+12,10000002,30000144,1
29.85,20023415,34,32767,2579568181,20023415,1,FALSE,2020-09-26 11:20:13,90,60003760,10000002,30000142,0
29.9,126332667,34,32767,2579567246,126332667,1,FALSE,2020-09-26 10:54:26,90,60003760,10000002,30000142,0
29.98,8100000,34,32767,2579566955,8100000,1,FALSE,2020-09-26 10:52:47,90,1.01392E+12,10000002,30000144,1
29.99,999999,34,32767,2586354638,999999,1,FALSE,2020-11-04 12:30:28,90,60003757,10000002,30000142,0
30,13424324,34,32767,2579565781,13424324,1,FALSE,2020-09-26 10:45:24,90,60003760,10000002,30000142,0
35.8,50000000,34,32767,2579547363,50000000,1,FALSE,2020-09-26 7:48:13,90,60003760,10000002,30000142,0
35.9,67593912,34,32767,2579545150,67686320,1,FALSE,2020-09-26 6:57:24,90,60003760,10000002,30000142,0
50,11188,34,32767,2579742106,11188,1,FALSE,2020-09-27 3:54:57,90,1.01392E+12,10000002,30000144,1
50,218299,34,32767,2581395838,320666,1,FALSE,2020-10-06 11:36:25,90,60012667,10000002,30000180,6
50,78424,34,32767,2586811884,78424,1,FALSE,2020-11-07 8:53:33,90,60000403,10000002,30000138,1
58,29133,34,32767,2579618932,29133,1,FALSE,2020-09-26 16:10:22,90,60003760,10000002,30000142,0
58.54,304500,34,32767,2585385454,304500,1,FALSE,2020-10-29 12:07:25,90,60003760,10000002,30000142,0
60,299481,34,32767,2581345485,299781,1,FALSE,2020-10-05 23:40:06,90,60004444,10000002,30000181,7
106,22432,34,32767,2585953570,22432,1,FALSE,2020-11-01 19:32:34,14,60003760,10000002,30000142,0
193,5986587,34,32767,2586562773,5986587,1,FALSE,2020-11-05 19:22:31,90,1.01392E+12,10000002,30000144,1
200,3407225,34,32767,2575060689,3407225,1,FALSE,2020-09-03 1:07:46,90,60003760,10000002,30000142,0
200,8400,34,32767,2586936930,8400,1,FALSE,2020-11-07 22:07:36,90,60003760,10000002,30000142,0
500,275477,34,32767,2571195068,275477,1,FALSE,2020-08-16 13:26:40,90,60003760,10000002,30000142,0
1568,2002,34,32767,2577149827,2002,1,FALSE,2020-09-13 13:25:15,90,1.01392E+12,10000002,30000144,1
12320,1,34,32767,2579638508,1,1,FALSE,2020-09-26 17:53:20,90,60003760,10000002,30000142,0
75000,15000,34,32767,2583010423,15000,1,FALSE,2020-10-15 2:23:25,90,60003760,10000002,30000142,0
15.72,5479510,34,-1,2586767168,6000000,1,TRUE,2020-11-06 22:57:04,90,60004237,10000002,30000129,3
15.02,2000000,34,-1,2587105268,2000000,1,TRUE,2020-11-08 20:00:47,90,1.01399E+12,10000002,30000144,1
15.01,98431847,34,1,2586721518,133244504,1,TRUE,2020-11-06 19:22:15,90,1.01392E+12,10000002,30000144,1
15,50000000,34,1,2585597067,50000000,1,TRUE,2020-10-30 19:28:09,90,1.01392E+12,10000002,30000144,1
15,200000,34,-1,2586686687,200000,1,TRUE,2020-11-06 15:15:35,7,60003760,10000002,30000142,0
15,20000000,34,1,2586731809,20000000,1,TRUE,2020-11-06 20:18:41,90,1.01392E+12,10000002,30000144,1
14.7,20000000,34,-1,2582665964,20000000,1,TRUE,2020-10-13 0:23:39,90,1.01392E+12,10000002,30000144,1
14.56,20000000,34,1,2582812127,20000000,1,TRUE,2020-10-13 22:47:08,90,1.01392E+12,10000002,30000144,1
14.56,200000000,34,1,2584082263,200000000,1,TRUE,2020-11-08 12:05:31,90,1.01392E+12,10000002,30000144,1
14.56,200000000,34,1,2582622112,200000000,1,TRUE,2020-11-08 12:05:45,90,1.01392E+12,10000002,30000144,1
14.56,196279646,34,1,2582622395,200000000,1,TRUE,2020-11-08 12:06:37,90,1.01392E+12,10000002,30000144,1
14.55,197519445,34,-1,2575653492,200000000,1,TRUE,2020-09-05 23:06:08,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2584166875,200000000,1,TRUE,2020-10-24 17:56:49,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2584660154,200000000,1,TRUE,2020-10-24 22:32:03,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2585472866,200000000,1,TRUE,2020-10-29 22:16:23,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2586740144,200000000,1,TRUE,2020-11-06 20:59:38,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2586876108,200000000,1,TRUE,2020-11-07 17:00:20,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2587078130,200000000,1,TRUE,2020-11-08 17:46:25,90,1.01392E+12,10000002,30000144,1
14.23,200000000,34,1,2587096823,200000000,1,TRUE,2020-11-08 19:24:02,90,1.01392E+12,10000002,30000144,1
14.21,299938491,34,2,2582641020,300000000,1,TRUE,2020-10-12 22:25:55,90,1.01392E+12,10000002,30000144,1
14.13,100000000,34,1,2582635030,100000000,1000000,TRUE,2020-10-12 22:00:56,90,1.01392E+12,10000002,30000144,1
14.11,100000000,34,-1,2575388693,100000000,1,TRUE,2020-09-04 20:37:37,90,1.01392E+12,10000002,30000144,1
14.03,100000000,34,1,2582625574,100000000,1,TRUE,2020-10-12 21:23:14,90,60003760,10000002,30000142,0
14.01,30000000,34,-1,2582666062,30000000,1,TRUE,2020-10-13 0:24:28,90,1.01392E+12,10000002,30000144,1
13.99,100000000,34,-1,2583521831,100000000,1,TRUE,2020-10-18 2:33:02,30,60003760,10000002,30000142,0
13,1000000,34,0,2586821485,1000000,1,TRUE,2020-11-07 10:40:25,30,60003760,10000002,30000142,0
12.17,5000000,34,-1,2586467285,5000000,1,TRUE,2020-11-05 0:16:40,90,60003760,10000002,30000142,0
11.39,100000000,34,1,2582626953,100000000,10000,TRUE,2020-10-12 21:47:00,90,1.01392E+12,10000002,30000144,1
11.33,233333333,34,1,2582619348,233333333,1,TRUE,2020-10-12 20:55:45,90,1.01392E+12,10000002,30000144,1
11.1,100000000,34,1,2567100963,100000000,1,TRUE,2020-09-09 6:32:27,90,1.01392E+12,10000002,30000144,1
10.2,1318333,34,5,2586462641,2000000,1000,TRUE,2020-11-06 23:31:45,90,60004075,10000002,30000159,8
10.19,9398384,34,3,2575684935,10000000,1,TRUE,2020-11-06 12:09:10,90,60000919,10000002,30000159,8
10,1890640,34,3,2584252060,2000000,100000,TRUE,2020-10-22 15:39:00,90,60003760,10000002,30000142,0
8.13,841179,34,32767,2584896783,5000000,1,TRUE,2020-10-29 8:32:54,90,1.01392E+12,10000002,30000144,1
8.02,299643303,34,2,2582427474,300000000,1,TRUE,2020-10-11 19:01:39,90,1.01392E+12,10000002,30000144,1
8.01,5000000,34,32767,2586855910,5000000,1,TRUE,2020-11-07 15:00:50,90,1.01392E+12,10000002,30000144,1
8,3764562,34,-1,2577905751,9999999,1,TRUE,2020-09-17 7:00:50,90,1.01399E+12,10000002,30000144,1
8,6344882,34,20,2581572302,10000000,1,TRUE,2020-10-07 7:50:23,90,1.01392E+12,10000002,30000144,1
1.88,10000000,34,40,2581643751,10000000,10000,TRUE,2020-10-07 17:00:19,90,60003760,10000002,30000142,0
1.8,6000000,34,3,2586250175,6000000,10000,TRUE,2020-11-03 18:48:50,90,60003760,10000002,30000142,0
1.41,1111111,34,32767,2571152684,1111111,1,TRUE,2020-08-16 9:50:37,90,60004048,10000002,30000146,5
1,100000,34,-1,2586962861,100000,1,TRUE,2020-11-08 0:01:41,1,1.01392E+12,10000002,30000144,1
0.01,89500038,34,1,2582627138,100000000,10000,TRUE,2020-10-17 0:59:53,90,1.01392E+12,10000002,30000144,1